SecureTV OMS (Version 3.5.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,channel_number,channel_name,rating,ecm_id,service_id,tsid,nit,access_criteria,ala_carte,is_active,output_url,output_port,input_url,input_port,format,category,call_letters,logo_clipart,channel_text,ala_carte_price,broadcaster_id,created_at,updated_at,epg_id,deleted_at,module_id,output_video_url,profile_file,language
4,1,Colors Tamil HD,G,0,,,1,,,1,192.168.150.225,1101,231.40.41.23,1111,HD,Tamil,1,http://auth.jprdigitalott.com/logos/ColorsTamilHD.jpg,Colors Tamil HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Colors Tamil,,N1,http://jprdigitalott.com/media/ColorsTamilHD.mpd,HD3-1.5m-500k-200k,
5,2,Romedy Now HD,G,0,,,1,,,1,192.168.150.225,1201,231.51.28.15,1111,HD,English Movies,2,http://auth.jprdigitalott.com/logos/HDRomedyNow.jpg,Romedy Now HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Romedy Now,,N1,http://jprdigitalott.com/media/HDRomedyNow.mpd,HD3-1.5m-500k-200k,
6,3,SB HD,G,0,,,1,,,1,192.168.150.225,1301,231.50.39.5,1111,HD,Infotainment,3,http://auth.jprdigitalott.com/logos/HDSB.jpg,SB HD,0,,1/15/2020 1:19,2/6/2020 12:13,blank,,S1,http://jprdigitalott.com/media/HDSB.mpd,HD3-1.5m-500k-200k,
7,4,& Flix,G,0,,,1,,,1,192.168.150.225,2101,231.51.19.7,1111,HD,English Movies,4,http://auth.jprdigitalott.com/logos/andflix.png,& Flix,0,,1/15/2020 1:19,2/6/2020 12:13,HD &flix,,N1,http://jprdigitalott.com/media/StarPravahHD.mpd,HD3-1.5m-500k-200k,
8,5,Sony Ten 2 HD,G,0,,,1,,,1,192.168.150.225,2201,231.40.41.76,1111,HD,Sports,5,http://auth.jprdigitalott.com/logos/SonyTEN2HD.jpg,Sony Ten 2 HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Ten 2,,M1,http://jprdigitalott.com/media/SonyTen2HD.mpd,HD3-1.5m-500k-200k,
9,6,Ten 3 HD,G,0,,,1,,,1,192.168.150.225,2301,231.40.41.77,1111,HD,Sports,6,http://auth.jprdigitalott.com/logos/HDTen3.jpg,Ten 3 HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Ten 3,,N1,http://jprdigitalott.com/media/HDTen3.mpd,HD3-1.5m-500k-200k,
10,7,Sony Max HD,G,0,,,1,,,1,192.168.150.225,3101,231.51.18.12,1111,HD,Hindi Movies,7,http://auth.jprdigitalott.com/logos/SonyMAXHD.jpg,Sony Max HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Sony Max,,N1,http://jprdigitalott.com/media/SonyMaxHD.mpd,HD3-1.5m-500k-200k,
11,8,Sony BBC Earth HD,G,0,,,1,,,1,192.168.150.225,3201,231.40.41.66,1111,HD,Infotainment,8,http://auth.jprdigitalott.com/logos/SonyBBCEarthHD.jpg,Sony BBC Earth HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Sony BBC Earth,,S1,http://jprdigitalott.com/media/StarSports2HD.mpd,HD3-1.5m-500k-200k,
12,10,Sab TV HD,G,0,,,1,,,1,192.168.150.225,4101,231.40.41.42,1111,HD,Hindi Entertainment,10,http://auth.jprdigitalott.com/logos/SabTvHD.jpg,Sab TV HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Sab Tv,,N1,http://jprdigitalott.com/media/SabTvHD.mpd,HD3-1.5m-500k-200k,
13,11,Jaya TV HD,G,0,,,1,,,1,192.168.150.225,4201,231.40.41.15,1111,HD,Tamil,11,http://auth.jprdigitalott.com/logos/JayaTVHD.jpg,Jaya TV HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Jaya TV,,M2,http://jprdigitalott.com/media/JayaTVHD.mpd,HD3-1.5m-500k-200k,
14,9,& Pictures,G,0,,,1,,,1,192.168.150.225,3301,231.40.41.117,1111,HD,Hindi Movies,9,http://auth.jprdigitalott.com/logos/andPicturesHD.jpg,& Pictures,0,,1/15/2020 1:19,2/6/2020 12:13,& Picture HD,,N1,http://jprdigitalott.com/media/HDDisneyInternational.mpd,HD3-1.5m-500k-200k,
15,12,Times Now World HD,G,0,,,1,,,1,192.168.150.225,4301,231.40.41.69,1111,HD,English News,12,http://auth.jprdigitalott.com/logos/TimesNowHD.jpg,Times Now World HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Times Now,,N1,http://jprdigitalott.com/media/TimesNowHD.mpd,HD3-1.5m-500k-200k,
16,13,MNX HD,G,0,,,1,,,1,192.168.150.225,5101,231.40.41.44,1111,HD,English Movies,13,http://auth.jprdigitalott.com/logos/MNX.jpg,MNX HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD MNX,,S1,http://jprdigitalott.com/media/VH1HD.mpd,HD3-1.5m-500k-200k,
17,14,Discovery TV HD,G,0,,,1,,,1,192.168.150.225,5201,231.40.41.8,1111,HD,Infotainment,14,http://auth.jprdigitalott.com/logos/DiscoveryTVHD.jpg,Discovery TV HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Discovery,,N1,http://jprdigitalott.com/media/DiscoveryTVHD.mpd,HD3-1.5m-500k-200k,
18,15,Nick +  HD,G,0,,,1,,,1,192.168.150.225,5301,226.1.1.8,1111,HD,Kids,15,http://auth.jprdigitalott.com/logos/Nic+HD.jpg,Nick +  HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD Nick,,M2,http://jprdigitalott.com/media/Nic+HD.mpd,HD3-1.5m-500k-200k,
19,16,Zee Talkies HD,G,0,,,1,,,1,192.168.150.225,6101,231.40.41.47,1111,HD,Hindi Movies,16,http://auth.jprdigitalott.com/logos/ZeeTalkiesHD.jpg,Zee Talkies HD,0,,1/15/2020 1:19,2/6/2020 12:13,HD ZeeTalkies,,N1,http://jprdigitalott.com/media/StarGoldHD.mpd,HD3-1.5m-500k-200k,
